Hour;Set_T;Temp;SFH15_kWh;SFH45_kWh;SFH100_kWh
0;20;-2;0;0;548,317
1;20;-2,1;0;0;286,698
2;20;-2,2;0;0;180,757
3;20;-2,3;0;0;15390,2
4;20;-2,6;0;0;4041,27
5;20;-2,7;0;0;9389,74
6;20;-2,7;0;1299,68;7375,72
7;20;-2,8;0;1497;4327,72
8;20;-3;0;1692,25;7461,99
9;20;-2,9;0;1882,08;4676,93
10;20;-2,4;0;2066,11;9150,14
11;20;-1,7;277,914;2240,97;8575,3
12;20;-1,2;340,877;2411,61;12098,7
13;20;-0,5;393,557;2574,23;11943,4
14;20;0,2;446,781;2731,09;8135,66
15;20;-0,2;502,342;2886,66;8838,55
16;20;-0,7;560,461;3040,02;4637,78
17;20;-0,8;619,044;3187,22;8955,36
18;20;-0,8;677,323;3327,68;7144,56
19;20;-1,8;733,943;3459,41;4911,28
20;20;-2,1;790,735;3586,65;8971,85
21;20;-2,7;847,701;3709,89;5989,02
22;20;-3;903,943;3827,16;9380,76
23;20;-3,1;960,075;3940,03;6159,6
24;20;-3,2;1016,81;4050,36;13252,8
25;20;-3;1072,97;4155,49;4979,44
26;20;-3,4;1128,6;4256,22;7770,94
27;20;-3,9;1183,69;4352,92;11155,2
28;20;-4,1;1238,05;4445,14;4999,51
29;20;-4,5;1291,75;4533,45;5486,79
30;20;-4,9;1343,65;4615,64;7108,07
31;20;-5;1394,03;4692,39;9758,96
32;20;-4,8;1442,66;4764,05;5500,54
33;20;-3,4;1485,98;4826,84;4141,56
34;20;-2,2;1521,46;4876,96;3736,38
35;20;-0,5;1547,7;3064,76;11264,9
36;20;0,3;1582,23;2788,44;2964,95
37;20;0,3;1621,99;2675,69;3254,3
38;20;0,3;1662,54;2572,24;8518,97
39;20;0,1;1703,03;2476,54;12086,7
40;20;-0,2;1745,04;3678,84;5794,28
41;20;-0,1;1786,42;3477,09;4118,84
42;20;0,2;1826,33;2642,44;8684,44
43;20;0,4;1862,73;3548,25;3275,15
44;20;0,5;1898,61;3781,35;8359,56
45;20;0,6;1933,88;2566,64;12198,5
46;20;0,3;1968,03;3005,4;11966,4
47;20;0;2002;3179,85;6921,57
48;20;0,1;2036,46;3307,95;4954,84
49;20;2,2;2068,99;2798,51;5317,78
50;20;1,8;2100,95;3714,71;4717,22
51;20;1,4;2132,34;2591,8;4311,91
52;20;1,1;2163,11;3105,35;3951,27
53;20;0,5;2193,46;2462,39;9005,42
54;20;0,3;2221,9;3426,11;8547,58
55;20;0,1;2249;2587,91;12092,1
56;20;-0,1;2275,54;3430,49;6942,39
57;20;1,4;2301,27;2402,2;8622,75
58;20;2,2;2326,57;3106,34;11652,6
59;20;2,8;2349,16;2160,28;2910,22
60;20;3,3;2371,41;2127,95;3546,97
61;20;3,4;2379,47;2021,43;2190,73
62;20;3,4;2401,69;2279,95;2961,5
63;20;3;2414,31;2541,5;2541,53
64;20;1,7;2437,05;3196,2;4595,18
65;20;0,2;1846,46;3674,03;3791,76
66;20;-0,8;1805,16;3859,42;9221,99
67;20;-2,2;1764,08;2738,69;5079,92
68;20;-3,1;2301,21;2816,72;13009,3
69;20;-3,9;2339,01;4090,67;4854,89
70;20;-3,9;1809,34;3668,12;7744,38
71;20;-4,2;1910,68;3924,06;9893,86
72;20;-4,4;2379,84;4257,9;7338,68
73;20;-4,6;2407,89;4359,4;5659,33
74;20;-4,8;2435,28;3706,57;9956,91
75;20;-5,4;2462,31;4515,46;5187,31
76;20;-4,7;2488,12;4540,08;6151,77
77;20;-3,7;2512,53;3358,01;6110,55
78;20;-2,9;2534,43;4182,01;9324
79;20;-2,9;1924,95;2855,52;6148,89
80;20;-2,3;1939,83;3567,47;4183,89
81;20;-1,9;1841,36;3827;12533,1
82;20;-1,6;1797,96;2753,61;5864,95
83;20;-0,8;1753,14;2751,12;5507,38
84;20;0,4;1713,2;2701,6;5437,06
85;20;2,3;1659,47;2337,36;4963,04
86;20;3,8;1605,09;2236,62;5052,47
87;20;4,2;1563,74;2149,22;2385,36
88;20;3,1;1529,49;2074,33;2954,12
89;20;2,1;1497,6;2005,2;8280,12
90;20;1,4;1466,82;3634,08;12036,5
91;20;0,8;1435,05;2318,97;11931
92;20;0,6;1404,8;2601,75;11911,3
93;20;0,7;1375,75;2346,59;8750
94;20;-0,3;1347,76;3057,43;6731,32
95;20;0,1;1320,85;3256,5;4917,82
96;20;0,3;1295,91;3113,8;4105,83
97;20;-0,1;1272,21;3404,26;8854,93
98;20;-1,2;1249,84;3878,2;11029,4
99;20;-1,3;1228,18;2621,74;7376,7
100;20;-1,8;1207,45;2671,91;4409,03
101;20;-2;1187,43;4191,77;9557,34
102;20;-2,4;1167,14;2734,64;4757,17
103;20;-1,8;1146,48;2921,72;8980,28
104;20;0,3;1290,43;3490,23;8546,76
105;20;2,1;1732,8;2844,42;3208,97
106;20;3,7;1412,96;3385,43;3785,58
107;20;4,2;1203,44;2166,32;2145,09
108;20;4,1;1166,41;2075,48;7477,47
109;20;4,6;1129,13;1987,82;5866,55
110;20;4;1100,32;1912,53;7508,43
111;20;2,7;1076,28;1846,76;5886,65
112;20;2;1057,52;1789,69;4082,14
113;20;1,6;1040,22;3553,57;3836,11
114;20;1,1;1023,39;2483,03;3565,24
115;20;0,8;1005,07;2214,97;3456,59
116;20;0,2;987,957;3513,66;8634,68
117;20;-0,4;971,929;3648,84;12113,4
118;20;-1,3;956,436;2859,09;5797,8
119;20;-1,9;942,103;3307,12;4121,48
120;20;-2,2;1315,97;3245,66;7419,4
121;20;-2,4;1481,43;3770,82;9453,08
122;20;-2,6;1529,82;4075,04;3864,25
123;20;-2,8;1577,34;4103,24;6199,8
124;20;-3,1;1624,04;3979,49;13171,8
125;20;-3,4;1669,94;3846,7;4878,75
126;20;-3,7;1713,84;3774,26;4191,49
127;20;-3,7;1756,08;4266,54;5862,47
128;20;-3,4;1797,17;3796,97;4090,23
129;20;-2,4;1835,68;3112,49;9422,65
130;20;-2,5;1864,1;2430,55;8803,59
131;20;-2,7;1893,84;2416,33;5800,64
132;20;-2,3;1411,12;2458,16;5588,24
133;20;-1,5;1330,03;2237,36;6575,23
134;20;-1,5;1305,58;3173,34;4189,69
135;20;-1,8;1273,42;2781,25;8538,78
136;20;-2,3;1251,31;3886,99;9408,05
137;20;-2,8;1230,76;3523,31;5543,1
138;20;-3,1;1764,29;3563,4;9962,2
139;20;-3,6;1806,75;3419,01;8633,43
140;20;-3,9;1846,91;2823,19;4428,33
141;20;-4,1;1886,58;3894,72;6013,27
142;20;-4,6;1925,16;4287,94;13594,5
143;20;-5;1963,54;4414,39;5028,62
144;20;-6,2;2003,13;4542,18;13282,1
145;20;-6,6;2042,28;4618,98;13306,1
146;20;-6,7;2080,51;4688,22;10136,2
147;20;-5,9;2117,26;4441,51;10366,3
148;20;-5,9;2153,07;3964;5325,99
149;20;-6,2;2188,14;4074,53;5667,45
150;20;-6,6;2221,31;4233,79;14180,8
151;20;-7,2;2253,27;4365,67;14410
152;20;-6;2283,83;3846,37;5136,5
153;20;-5,1;2308,9;3245,82;4236,15
154;20;-4,4;2333,18;3811,46;7519,11
155;20;-3,6;2339,58;2719,23;11898,1
156;20;-2,6;2364,03;2616,04;5157,31
157;20;-2,2;1749,52;2512,35;5359,83
158;20;-1,7;1701,68;2414,44;5404,76
159;20;-1,2;1656,81;3493,56;5414,61
160;20;-1,4;1621,71;3281,54;9261,82
161;20;-1,9;1589,21;4202,79;6138,9
162;20;-1,9;1557,43;3729,5;5307,62
163;20;-2,1;1524,43;3458,76;4547,99
164;20;-1,8;1492,7;3648,67;8860,62
165;20;-1,6;1462,16;3900,83;7127,21
166;20;-1,4;1432,04;2940,54;4616,48
167;20;-1,6;1403,43;2954,44;6772,99
168;20;-1,6;1376,99;3944,59;4148,35
169;20;-1,7;1907,02;2827,28;7423,85
170;20;-1,9;1951,18;3998,7;5970
171;20;-1,9;1988,64;3581,28;12378,8
