,Hour,Set_T,Temp,SFH15_kWh,SFH45_kWh,SFH100_kWh,DHW_kWh
2017-01-01 00:00:00+01:00,0,20,-2.0,0.0,0.0,0.13707925,0.0
2017-01-01 00:15:00+01:00,0,20,-2.0,0.0,0.0,0.13707925,0.0
2017-01-01 00:30:00+01:00,0,20,-2.0,0.0,0.0,0.13707925,0.0
2017-01-01 00:45:00+01:00,0,20,-2.0,0.0,0.0,0.13707925,0.0
2017-01-01 01:00:00+01:00,1,20,-2.1,0.0,0.0,0.07167449999999999,0.0
2017-01-01 01:15:00+01:00,1,20,-2.1,0.0,0.0,0.07167449999999999,0.0
2017-01-01 01:30:00+01:00,1,20,-2.1,0.0,0.0,0.07167449999999999,0.0
2017-01-01 01:45:00+01:00,1,20,-2.1,0.0,0.0,0.07167449999999999,0.0
2017-01-01 02:00:00+01:00,2,20,-2.2,0.0,0.0,0.04518925,0.0
2017-01-01 02:15:00+01:00,2,20,-2.2,0.0,0.0,0.04518925,0.0
2017-01-01 02:30:00+01:00,2,20,-2.2,0.0,0.0,0.04518925,0.0
2017-01-01 02:45:00+01:00,2,20,-2.2,0.0,0.0,0.04518925,0.0
2017-01-01 03:00:00+01:00,3,20,-2.3,0.0,0.0,3.84755,0.0
2017-01-01 03:15:00+01:00,3,20,-2.3,0.0,0.0,3.84755,0.00855916666666666
2017-01-01 03:30:00+01:00,3,20,-2.3,0.0,0.0,3.84755,0.00223708333333333
2017-01-01 03:45:00+01:00,3,20,-2.3,0.0,0.0,3.84755,0.0
2017-01-01 04:00:00+01:00,4,20,-2.6,0.0,0.0,1.0103175,0.007156666666666659
2017-01-01 04:15:00+01:00,4,20,-2.6,0.0,0.0,1.0103175,0.0333604166666666
2017-01-01 04:30:00+01:00,4,20,-2.6,0.0,0.0,1.0103175,0.0
2017-01-01 04:45:00+01:00,4,20,-2.6,0.0,0.0,1.0103175,0.00908333333333333
