,Qs,HeatStockTemperature,ElectricConsumption,SolarPVProduction
0,16.343,60.0,0.27,0.0
1,16.261,60.0,0.27,0.0
2,16.562,60.0,0.27,0.0
3,16.768,60.0,0.27,0.0
4,16.969,60.0,0.27,0.0
5,17.074,60.0,0.27,0.0
6,15.791,60.0,2.164,0.0
7,16.366,60.0,1.855,0.0
8,17.416,60.0,0.711,0.034
9,14.046,60.0,0.541,1.123
10,12.242,60.0,0.541,2.038
11,9.372,60.0,1.461,2.815
12,7.582,60.0,3.029,3.015
13,9.857,60.0,1.345,2.666
14,10.682,60.0,0.541,2.004
15,11.244,60.0,0.541,1.382
16,14.284,60.0,1.461,0.051
17,13.046,60.0,3.091,0.0
18,13.944,60.0,2.411,0.0
19,14.489,60.0,2.133,0.0
20,14.937,60.0,1.855,0.0
21,14.632,60.0,2.318,0.0
22,14.94,60.0,2.318,0.0
23,17.049,60.0,0.27,0.0
24,17.626,60.0,0.27,0.0
25,17.551,60.0,0.27,0.0
26,17.733,60.0,0.27,0.0
27,17.937,60.0,0.27,0.0
28,18.04,60.0,0.27,0.0
29,18.147,60.0,0.27,0.0
30,16.772,60.0,2.164,0.0
31,17.348,60.0,1.855,0.0
32,18.499,60.0,0.711,0.034
33,17.657,60.0,0.541,0.478
34,16.551,60.0,0.541,0.936
35,14.839,60.0,1.461,1.173
36,13.603,60.0,3.029,0.987
37,15.329,60.0,1.345,0.953
38,16.451,60.0,0.541,0.853
39,17.15,60.0,0.541,0.53
40,17.069,60.0,1.461,0.068
41,15.754,60.0,3.091,0.0
42,16.556,60.0,2.411,0.0
43,16.821,60.0,2.133,0.0
44,17.255,60.0,1.855,0.0
45,16.759,60.0,2.318,0.0
46,16.861,60.0,2.318,0.0
47,18.772,60.0,0.27,0.0
48,18.871,60.0,0.27,0.0
49,18.788,60.0,0.27,0.0
50,18.787,60.0,0.27,0.0
51,18.793,60.0,0.27,0.0
52,18.705,60.0,0.27,0.0
53,18.706,60.0,0.27,0.0
54,17.254,60.0,2.164,0.0
55,17.72,60.0,1.855,0.0
56,18.576,60.0,0.711,0.085
57,14.081,60.0,0.541,1.407
58,12.149,60.0,0.541,2.186
59,9.397,60.0,1.461,2.816
60,6.927,60.0,3.029,2.871
61,9.502,60.0,1.345,3.063
62,10.275,60.0,0.541,2.702
63,11.275,60.0,0.541,1.783
64,14.023,60.0,1.461,0.051
65,12.851,60.0,3.091,0.0
66,13.986,60.0,2.411,0.0
67,14.697,60.0,2.133,0.0
68,15.336,60.0,1.855,0.0
69,15.282,60.0,2.318,0.0
70,15.7,60.0,2.318,0.0
71,18.018,60.0,0.27,0.0
72,18.867,60.0,0.27,0.0
73,19.797,60.0,0.27,0.0
74,20.742,60.0,0.27,0.0
75,21.306,60.0,0.27,0.0
76,21.744,60.0,0.27,0.0
77,22.574,60.0,0.27,0.0
78,21.445,60.0,2.164,0.0
79,22.364,60.0,1.855,0.0
80,23.668,60.0,0.711,0.069
81,19.841,60.0,0.541,1.784
82,17.075,60.0,0.541,2.735
83,13.875,60.0,1.461,4.138
84,11.691,60.0,3.029,4.86
85,13.408,60.0,1.345,4.541
86,13.835,60.0,0.541,4.708
87,16.549,60.0,0.541,3.051
88,18.618,60.0,1.461,0.288
89,18.009,60.0,3.091,0.0
90,19.007,60.0,2.411,0.0
91,19.643,60.0,2.133,0.0
92,20.278,60.0,1.855,0.0
93,20.088,60.0,2.318,0.0
94,20.504,60.0,2.318,0.0
95,22.608,60.0,0.27,0.0
96,22.625,60.0,0.27,0.0
97,22.614,60.0,0.27,0.0
98,22.645,60.0,0.27,0.0
99,22.651,60.0,0.27,0.0
100,22.654,60.0,0.27,0.0
101,22.671,60.0,0.27,0.0
102,21.193,60.0,2.164,0.0
103,21.595,60.0,1.855,0.0
104,22.648,60.0,0.711,0.035
105,21.768,60.0,0.541,0.397
106,20.708,60.0,0.541,0.741
107,18.589,60.0,1.461,1.117
108,16.55,60.0,3.029,1.254
109,18.301,60.0,1.345,1.117
110,19.266,60.0,0.541,1.067
111,20.081,60.0,0.541,0.638
112,20.345,60.0,1.461,0.069
113,19.045,60.0,3.091,0.0
114,19.851,60.0,2.411,0.0
115,20.301,60.0,2.133,0.0
116,20.653,60.0,1.855,0.0
117,20.252,60.0,2.318,0.0
118,20.552,60.0,2.318,0.0
119,22.766,60.0,0.27,0.0
120,22.877,60.0,0.27,0.0
121,23.263,60.0,0.27,0.0
122,23.77,60.0,0.27,0.0
123,24.086,60.0,0.27,0.0
124,24.402,60.0,0.27,0.0
125,24.607,60.0,0.27,0.0
126,23.333,60.0,2.164,0.0
127,24.011,60.0,1.855,0.0
128,25.123,60.0,0.711,0.07
129,21.447,60.0,0.541,1.322
130,19.374,60.0,0.541,2.29
131,16.711,60.0,1.461,3.225
132,15.599,60.0,3.029,3.583
133,16.493,60.0,1.345,3.546
134,18.297,60.0,0.541,2.603
135,18.602,60.0,0.541,1.504
136,21.822,60.0,1.461,0.052
137,20.512,60.0,3.091,0.0
138,21.318,60.0,2.411,0.0
139,21.674,60.0,2.133,0.0
140,22.121,60.0,1.855,0.0
141,21.722,60.0,2.318,0.0
142,21.834,60.0,2.318,0.0
143,23.844,60.0,0.27,0.0
144,23.856,60.0,0.27,0.0
145,23.77,60.0,0.27,0.0
146,23.773,60.0,0.27,0.0
147,23.783,60.0,0.27,0.0
148,23.699,60.0,0.27,0.0
149,23.702,60.0,0.27,0.0
150,22.139,60.0,2.164,0.0
151,22.608,60.0,1.855,0.0
152,23.66,60.0,0.711,0.035
153,21.924,60.0,0.541,0.673
154,21.263,60.0,0.541,0.811
155,20.635,60.0,1.461,0.57
156,19.096,60.0,3.029,0.535
157,16.352,60.0,1.345,3.34
158,16.99,60.0,0.541,3.128
159,17.267,60.0,0.541,2.228
160,19.494,60.0,1.461,0.351
161,18.819,60.0,3.091,0.0
162,19.617,60.0,2.411,0.0
163,20.052,60.0,2.133,0.0
164,20.5,60.0,1.855,0.0
165,20.106,60.0,2.318,0.0
166,20.396,60.0,2.318,0.0
167,22.418,60.0,0.27,0.0
168,22.71,60.0,0.27,0.0
169,23.115,60.0,0.27,0.0
170,23.514,60.0,0.27,0.0
171,23.737,60.0,0.27,0.0
172,23.82,60.0,0.27,0.0
173,24.025,60.0,0.27,0.0
174,22.66,60.0,2.164,0.0
175,23.328,60.0,1.855,0.0
176,24.485,60.0,0.711,0.035
177,23.561,60.0,0.541,0.503
178,22.596,60.0,0.541,0.952
179,20.826,60.0,1.461,1.279
180,19.305,60.0,3.029,1.331
181,21.039,60.0,1.345,1.246
182,21.983,60.0,0.541,1.092
183,23.059,60.0,0.541,0.591
184,23.181,60.0,1.461,0.07
185,21.985,60.0,3.091,0.0
186,22.792,60.0,2.411,0.0
187,23.339,60.0,2.133,0.0
188,23.793,60.0,1.855,0.0
189,23.503,60.0,2.318,0.0
190,23.708,60.0,2.318,0.0
191,26.112,60.0,0.27,0.0
192,25.921,60.0,0.27,0.0
193,26.034,60.0,0.27,0.0
194,26.131,60.0,0.27,0.0
195,26.328,60.0,0.27,0.0
196,26.355,60.0,0.27,0.0
197,26.361,60.0,0.27,0.0
198,25.001,60.0,2.164,0.0
199,25.573,60.0,1.855,0.0
200,26.595,60.0,0.711,0.052
201,25.29,60.0,0.541,0.627
202,23.734,60.0,0.541,1.232
203,21.616,60.0,1.461,1.575
204,20.208,60.0,3.029,1.422
205,21.176,60.0,1.345,1.613
206,22.873,60.0,0.541,1.235
207,23.565,60.0,0.541,0.873
208,24.102,60.0,1.461,0.177
209,22.917,60.0,3.091,0.0
210,23.524,60.0,2.411,0.0
211,23.868,60.0,2.133,0.0
212,24.222,60.0,1.855,0.0
213,23.721,60.0,2.318,0.0
214,23.824,60.0,2.318,0.0
215,25.739,60.0,0.27,0.0
216,25.733,60.0,0.27,0.0
217,25.751,60.0,0.27,0.0
218,25.848,60.0,0.27,0.0
219,25.849,60.0,0.27,0.0
220,25.863,60.0,0.27,0.0
221,25.874,60.0,0.27,0.0
222,24.401,60.0,2.164,0.0
223,24.875,60.0,1.855,0.0
224,25.931,60.0,0.711,0.035
225,24.317,60.0,0.541,0.677
226,22.786,60.0,0.541,1.228
227,20.378,60.0,1.461,1.69
228,17.816,60.0,3.029,1.947
229,19.878,60.0,1.345,1.692
230,20.371,60.0,0.541,1.867
231,21.996,60.0,0.541,1.009
232,22.541,60.0,1.461,0.213
233,21.488,60.0,3.091,0.0
234,22.289,60.0,2.411,0.0
235,22.735,60.0,2.133,0.0
236,23.178,60.0,1.855,0.0
237,22.67,60.0,2.318,0.0
238,22.961,60.0,2.318,0.0
239,24.975,60.0,0.27,0.0
240,25.172,60.0,0.27,0.0
241,25.378,60.0,0.27,0.0
242,25.58,60.0,0.27,0.0
243,25.694,60.0,0.27,0.0
244,25.8,60.0,0.27,0.0
245,25.904,60.0,0.27,0.0
246,24.545,60.0,2.164,0.0
247,25.015,60.0,1.855,0.0
248,25.424,60.0,0.711,0.226
249,21.668,60.0,0.541,1.564
250,19.699,60.0,0.541,2.474
251,14.727,60.0,1.461,4.51
252,14.611,60.0,3.029,4.079
253,17.651,60.0,1.345,1.853
254,18.263,60.0,0.541,2.624
255,18.454,60.0,0.541,2.308
256,21.245,60.0,1.461,0.27
257,20.599,60.0,3.091,0.0
258,21.705,60.0,2.411,0.0
259,22.369,60.0,2.133,0.0
260,23.11,60.0,1.855,0.0
261,23.13,60.0,2.318,0.0
262,23.519,60.0,2.318,0.0
263,25.854,60.0,0.27,0.0
264,26.397,60.0,0.27,0.0
265,27.181,60.0,0.27,0.0
266,28.002,60.0,0.27,0.0
267,28.57,60.0,0.27,0.0
268,29.05,60.0,0.27,0.0
269,29.567,60.0,0.27,0.0
270,28.585,60.0,2.164,0.0
271,29.493,60.0,1.855,0.0
272,30.858,60.0,0.711,0.035
273,26.988,60.0,0.541,1.915
274,25.906,60.0,0.541,2.827
275,24.036,60.0,1.461,4.375
276,23.062,60.0,3.029,4.848
277,24.548,60.0,1.345,4.857
278,26.26,60.0,0.541,4.394
279,27.516,60.0,0.541,2.592
280,30.373,60.0,1.461,0.071
281,28.309,60.0,3.091,0.0
282,28.779,60.0,2.411,0.0
283,29.042,60.0,2.133,0.0
284,29.302,60.0,1.855,0.0
285,28.709,60.0,2.318,0.0
286,28.724,60.0,2.318,0.0
287,30.543,60.0,0.27,0.0
288,30.541,60.0,0.27,0.0
289,30.552,60.0,0.27,0.0
290,30.658,60.0,0.27,0.0
291,30.677,60.0,0.27,0.0
292,30.689,60.0,0.27,0.0
293,30.707,60.0,0.27,0.0
294,29.248,60.0,2.164,0.0
295,29.82,60.0,1.855,0.0
296,30.978,60.0,0.711,0.035
297,28.832,60.0,0.541,0.966
298,26.018,60.0,0.541,2.003
299,23.931,60.0,1.461,2.475
300,21.248,60.0,3.029,2.802
301,23.52,60.0,1.345,2.849
302,24.138,60.0,0.541,2.327
303,25.126,60.0,0.541,1.554
304,27.841,60.0,1.461,0.236
305,26.711,60.0,3.091,0.0
306,27.344,60.0,2.411,0.0
307,27.587,60.0,2.133,0.0
308,27.833,60.0,1.855,0.0
309,27.237,60.0,2.318,0.0
310,27.258,60.0,2.318,0.0
311,29.055,60.0,0.27,0.0
312,29.055,60.0,0.27,0.0
313,29.155,60.0,0.27,0.0
314,28.773,60.0,0.27,0.0
315,28.572,60.0,0.27,0.0
316,28.475,60.0,0.27,0.0
317,28.381,60.0,0.27,0.0
318,26.812,60.0,2.164,0.0
319,27.281,60.0,1.855,0.0
320,28.237,60.0,0.711,0.035
321,27.786,60.0,0.541,0.21
322,27.106,60.0,0.541,0.403
323,25.45,60.0,1.461,0.595
324,23.628,60.0,3.029,0.612
325,25.299,60.0,1.345,0.559
326,26.281,60.0,0.541,0.472
327,26.71,60.0,0.541,0.297
328,26.191,60.0,1.461,0.088
329,24.83,60.0,3.091,0.0
330,25.529,60.0,2.411,0.0
331,26.462,60.0,2.133,0.0
332,26.253,60.0,1.855,0.0
333,25.641,60.0,2.318,0.0
334,25.637,60.0,2.318,0.0
335,27.458,60.0,0.27,0.0
336,27.54,60.0,0.27,0.0
337,27.746,60.0,0.27,0.0
338,27.951,60.0,0.27,0.0
339,28.069,60.0,0.27,0.0
340,28.17,60.0,0.27,0.0
341,28.255,60.0,0.27,0.0
342,26.883,60.0,2.164,0.0
343,27.463,60.0,1.855,0.0
344,28.616,60.0,0.711,0.035
345,28.102,60.0,0.541,0.316
346,27.508,60.0,0.541,0.579
347,25.901,60.0,1.461,0.823
348,24.13,60.0,3.029,0.858
349,26.023,60.0,1.345,0.753
350,27.124,60.0,0.541,0.648
351,27.814,60.0,0.541,0.386
352,27.264,60.0,1.461,0.142
353,26.107,60.0,3.091,0.0
354,26.704,60.0,2.411,0.0
355,27.272,60.0,2.133,0.0
356,26.941,60.0,1.855,0.0
357,26.331,60.0,2.318,0.0
358,26.234,60.0,2.318,0.0
359,28.032,60.0,0.27,0.0
360,28.098,60.0,0.27,0.0
361,28.412,60.0,0.27,0.0
362,27.833,60.0,0.27,0.0
363,27.624,60.0,0.27,0.0
364,27.518,60.0,0.27,0.0
365,27.422,60.0,0.27,0.0
366,25.954,60.0,2.164,0.0
367,26.322,60.0,1.855,0.0
368,27.368,60.0,0.711,0.035
369,26.886,60.0,0.541,0.245
370,26.184,60.0,0.541,0.471
371,24.482,60.0,1.461,0.68
372,22.628,60.0,3.029,0.714
373,24.305,60.0,1.345,0.644
374,25.292,60.0,0.541,0.522
375,25.817,60.0,0.541,0.296
376,25.272,60.0,1.461,0.105
377,24.017,60.0,3.091,0.0
378,24.626,60.0,2.411,0.0
379,24.973,60.0,2.133,0.0
