,Qs,ElectricConsumption,SolarPVProduction
0,17.118,0.947,0.0
1,14.916,0.947,0.0
2,15.215,0.947,0.0
3,15.218,0.947,0.0
4,15.337,0.947,0.0
5,15.458,0.947,0.0
6,10.481,7.573,0.0
7,12.046,6.492,0.0
8,15.73,2.488,0.0
9,14.233,1.893,0.0
10,12.354,1.893,0.0
11,7.262,5.112,0.0
12,0.373,10.603,0.0
13,6.45,4.706,0.0
14,10.676,1.893,0.0
15,12.648,1.893,0.0
16,11.861,5.112,0.0
17,7.299,10.819,0.0
18,10.166,8.439,0.0
19,10.546,7.465,0.0
20,12.077,6.492,0.0
21,10.19,8.114,0.0
22,10.195,8.114,0.0
23,16.413,0.947,0.0
24,17.007,0.947,0.0
25,17.605,0.947,0.0
26,18.209,0.947,0.0
27,18.586,0.947,0.0
28,18.831,0.947,0.0
29,19.206,0.947,0.0
30,14.353,7.573,0.0
31,16.123,6.492,0.0
32,19.867,2.488,0.0
33,14.764,1.893,0.0
34,11.546,1.893,0.0
35,4.552,5.112,0.0
36,0.0,10.603,0.0
37,4.559,4.706,0.0
38,8.884,1.893,0.0
39,11.345,1.893,0.0
40,13.668,5.112,0.0
41,9.34,10.819,0.0
42,11.878,8.439,0.0
43,13.225,7.465,0.0
44,14.637,6.492,0.0
45,13.181,8.114,0.0
46,13.684,8.114,0.0
47,20.366,0.947,0.0
48,20.646,0.947,0.0
49,21.042,0.947,0.0
50,21.417,0.947,0.0
51,21.763,0.947,0.0
52,21.906,0.947,0.0
53,22.096,0.947,0.0
54,17.181,7.573,0.0
55,18.751,6.492,0.0
56,21.672,2.488,0.0
57,14.781,1.893,0.0
58,10.719,1.893,0.0
59,2.323,5.112,0.0
60,0.0,10.603,0.0
61,0.0,4.706,0.0
62,2.244,1.893,0.0
63,6.623,1.893,0.0
64,9.296,5.112,0.0
65,5.756,10.819,0.0
66,8.624,8.439,0.0
67,10.407,7.465,0.0
68,12.111,6.492,0.0
69,11.036,8.114,0.0
70,11.772,8.114,0.0
71,18.737,0.947,0.0
72,19.676,0.947,0.0
73,20.602,0.947,0.0
74,21.46,0.947,0.0
75,21.965,0.947,0.0
76,22.351,0.947,0.0
77,23.107,0.947,0.0
78,18.543,7.573,0.0
79,20.435,6.492,0.0
80,23.385,2.488,0.0
81,17.739,1.893,0.0
82,15.11,1.893,0.0
83,8.27,5.112,0.0
84,1.79,10.603,0.0
85,5.38,4.706,0.0
86,10.563,1.893,0.0
87,12.506,1.893,0.0
88,16.081,5.112,0.0
89,11.554,10.819,0.0
90,14.211,8.439,0.0
91,15.542,7.465,0.0
92,17.086,6.492,0.0
93,15.644,8.114,0.0
94,16.205,8.114,0.0
95,22.958,0.947,0.0
96,23.114,0.947,0.0
97,23.47,0.947,0.0
98,23.85,0.947,0.0
99,24.19,0.947,0.0
100,24.249,0.947,0.0
101,24.461,0.947,0.0
102,19.457,7.573,0.0
103,21.156,6.492,0.0
104,23.715,2.488,0.0
105,17.802,1.893,0.0
106,13.588,1.893,0.0
107,6.472,5.112,0.0
108,0.904,10.603,0.0
109,6.51,4.706,0.0
110,10.878,1.893,0.0
111,13.432,1.893,0.0
112,15.992,5.112,0.0
113,11.844,10.819,0.0
114,14.275,8.439,0.0
115,15.482,7.465,0.0
116,16.517,6.492,0.0
117,14.876,8.114,0.0
118,15.189,8.114,0.0
119,21.666,0.947,0.0
120,21.819,0.947,0.0
121,22.091,0.947,0.0
122,22.641,0.947,0.0
123,23.449,0.947,0.0
124,23.126,0.947,0.0
125,23.033,0.947,0.0
126,18.051,7.573,0.0
127,19.542,6.492,0.0
128,23.21,2.488,0.0
129,19.352,1.893,0.0
130,16.597,1.893,0.0
131,10.208,5.112,0.0
132,4.192,10.603,0.0
133,10.191,4.706,0.0
134,17.461,1.893,0.0
135,18.114,1.893,0.0
136,17.918,5.112,0.0
137,13.794,10.819,0.0
138,16.223,8.439,0.0
139,17.44,7.465,0.0
140,18.625,6.492,0.0
141,17.126,8.114,0.0
142,17.589,8.114,0.0
143,24.017,0.947,0.0
144,24.573,0.947,0.0
145,24.903,0.947,0.0
146,25.276,0.947,0.0
147,25.598,0.947,0.0
148,25.774,0.947,0.0
149,26.021,0.947,0.0
150,21.093,7.573,0.0
151,22.694,6.492,0.0
152,26.087,2.488,0.0
153,19.348,1.893,0.0
154,16.505,1.893,0.0
155,8.494,5.112,0.0
156,1.697,10.603,0.0
157,6.676,4.706,0.0
158,10.556,1.893,0.0
159,12.701,1.893,0.0
160,16.341,5.112,0.0
161,11.855,10.819,0.0
162,14.383,8.439,0.0
163,15.562,7.465,0.0
164,16.911,6.492,0.0
165,15.506,8.114,0.0
166,15.927,8.114,0.0
167,22.557,0.947,0.0
168,23.063,0.947,0.0
169,23.585,0.947,0.0
170,24.092,0.947,0.0
171,24.433,0.947,0.0
172,24.734,0.947,0.0
173,24.988,0.947,0.0
174,20.044,7.573,0.0
175,21.842,6.492,0.0
