,Qs,ElectricConsumption,SolarPVProduction
0,8.661,0.338,0.0
1,7.522,0.338,0.0
2,7.669,0.338,0.0
3,7.678,0.338,0.0
4,7.741,0.338,0.0
5,7.805,0.338,0.0
6,6.05,2.705,0.0
7,6.627,2.318,0.0
8,7.892,0.889,0.0
9,6.809,0.676,0.0
10,5.613,0.676,0.0
11,3.32,1.826,0.0
12,0.395,3.787,0.0
13,2.757,1.681,0.0
14,4.669,0.676,0.0
15,5.937,0.676,0.0
16,6.336,1.826,0.0
17,4.851,3.864,0.0
18,5.986,3.014,0.0
19,6.074,2.666,0.0
20,6.71,2.318,0.0
21,6.047,2.898,0.0
22,6.055,2.898,0.0
23,8.296,0.338,0.0
24,8.587,0.338,0.0
25,8.881,0.338,0.0
26,9.178,0.338,0.0
27,9.367,0.338,0.0
28,9.493,0.338,0.0
29,9.677,0.338,0.0
30,7.98,2.705,0.0
31,8.659,2.318,0.0
32,9.95,0.889,0.0
33,5.583,0.676,0.0
34,4.389,0.676,0.0
35,1.123,1.826,0.0
36,0.474,3.787,0.0
37,1.881,1.681,0.0
38,3.096,0.676,0.0
39,2.678,0.676,0.0
40,7.127,1.826,0.0
41,5.836,3.864,0.0
42,6.819,3.014,0.0
43,7.373,2.666,0.0
44,7.97,2.318,0.0
45,7.511,2.898,0.0
46,7.76,2.898,0.0
47,10.241,0.338,0.0
48,10.381,0.338,0.0
49,10.576,0.338,0.0
50,10.766,0.338,0.0
51,10.953,0.338,0.0
52,11.026,0.338,0.0
53,11.127,0.338,0.0
54,9.413,2.705,0.0
55,9.992,2.318,0.0
56,10.828,0.889,0.0
57,5.815,0.676,0.0
58,3.355,0.676,0.0
59,0.323,1.826,0.0
60,0.0,3.787,0.0
61,0.0,1.681,0.0
62,0.0,0.676,0.0
63,1.56,0.676,0.0
64,4.926,1.826,0.0
65,4.008,3.864,0.0
66,5.184,3.014,0.0
67,5.97,2.666,0.0
68,6.681,2.318,0.0
69,6.408,2.898,0.0
70,6.786,2.898,0.0
71,9.379,0.338,0.0
72,9.851,0.338,0.0
73,10.302,0.338,0.0
74,10.725,0.338,0.0
75,10.968,0.338,0.0
76,11.155,0.338,0.0
77,11.559,0.338,0.0
78,10.009,2.705,0.0
79,10.744,2.318,0.0
80,11.576,0.889,0.0
81,7.468,0.676,0.0
82,5.566,0.676,0.0
83,3.202,1.826,0.0
84,0.583,3.787,0.0
85,1.876,1.681,0.0
86,3.773,0.676,0.0
