,Qs,HeatStockTemperature,DHWStockTemperature,ElectricConsumption,SolarPVProduction
0,15.528,40.0,52.0,0.811,0.0
1,13.297,40.0,51.8,0.811,0.0
2,13.579,40.0,51.7,0.811,0.0
3,13.597,40.0,51.6,0.811,0.0
4,13.715,40.0,51.5,0.811,0.0
5,13.833,40.0,70.0,0.811,0.0
6,9.586,40.0,65.4,6.492,0.0
7,10.94,40.0,60.8,5.564,0.0
8,14.059,40.0,58.8,2.133,0.0
9,12.231,40.0,58.0,1.623,0.0
10,10.107,40.0,57.1,1.623,0.0
11,5.278,40.0,55.9,4.382,0.0
12,0.0,18.0,54.2,9.088,0.0
13,3.994,40.0,53.0,4.034,0.0
14,8.421,40.0,52.2,1.623,0.0
15,10.666,40.0,51.4,1.623,0.0
16,10.636,40.0,50.3,4.382,0.0
17,6.834,40.0,70.0,9.274,0.0
18,9.349,40.0,67.2,7.233,0.0
19,9.664,40.0,63.3,6.399,0.0
20,11.017,40.0,59.9,5.564,0.0
21,9.415,40.0,57.8,6.955,0.0
22,9.425,40.0,55.9,6.955,0.0
23,14.769,40.0,55.8,0.811,0.0
24,15.319,40.0,55.6,0.811,0.0
25,15.881,40.0,55.5,0.811,0.0
26,16.446,40.0,55.4,0.811,0.0
27,16.8,40.0,55.2,0.811,0.0
28,17.035,40.0,55.1,0.811,0.0
29,17.386,40.0,53.0,0.811,0.0
30,13.247,40.0,70.0,6.492,0.0
31,14.796,40.0,65.1,5.564,0.0
32,17.961,40.0,62.9,2.133,0.0
33,9.611,40.0,62.0,1.623,0.0
34,7.94,40.0,61.1,1.623,0.0
35,1.751,40.0,59.7,4.382,0.0
36,0.0,18.0,57.9,9.088,0.0
37,2.553,40.0,56.6,4.034,0.0
38,5.584,40.0,55.8,1.623,0.0
39,7.934,40.0,54.9,1.623,0.0
40,12.282,40.0,53.7,4.382,0.0
41,8.78,40.0,52.1,9.274,0.0
42,10.998,40.0,50.1,7.233,0.0
43,12.196,40.0,70.0,6.399,0.0
44,13.481,40.0,66.3,5.564,0.0
45,12.261,40.0,63.9,6.955,0.0
46,12.729,40.0,61.8,6.955,0.0
47,18.534,40.0,61.6,0.811,0.0
48,18.795,40.0,61.5,0.811,0.0
49,19.162,40.0,61.3,0.811,0.0
50,19.522,40.0,61.2,0.811,0.0
51,19.88,40.0,61.0,0.811,0.0
52,20.015,40.0,60.8,0.811,0.0
53,20.2,40.0,58.5,0.811,0.0
54,16.038,40.0,54.7,6.492,0.0
55,17.391,40.0,51.0,5.564,0.0
56,19.71,40.0,70.0,2.133,0.0
57,10.74,40.0,69.0,1.623,0.0
58,6.309,40.0,67.9,1.623,0.0
59,0.846,40.0,66.4,4.382,0.0
60,0.0,18.0,64.4,9.088,0.0
61,0.0,18.0,63.0,4.034,0.0
62,0.086,40.0,62.0,1.623,0.0
63,4.892,40.0,61.0,1.623,0.0
64,8.232,40.0,59.6,4.382,0.0
65,5.38,40.0,57.9,9.274,0.0
66,7.949,40.0,55.6,7.233,0.0
67,9.607,40.0,52.4,6.399,0.0
68,11.175,40.0,70.0,5.564,0.0
69,10.255,40.0,67.5,6.955,0.0
70,10.93,40.0,65.2,6.955,0.0
71,16.946,40.0,65.1,0.811,0.0
72,17.827,40.0,64.9,0.811,0.0
73,18.703,40.0,64.8,0.811,0.0
74,19.513,40.0,64.6,0.811,0.0
75,19.933,40.0,64.4,0.811,0.0
76,20.302,40.0,64.3,0.811,0.0
77,21.091,40.0,61.8,0.811,0.0
78,17.239,40.0,57.8,6.492,0.0
79,18.896,40.0,53.8,5.564,0.0
80,21.21,40.0,52.0,2.133,0.0
81,14.587,40.0,51.3,1.623,0.0
82,11.234,40.0,50.5,1.623,0.0
83,6.5,40.0,70.0,4.382,0.0
84,0.0,18.0,67.9,9.088,0.0
85,3.588,40.0,66.3,4.034,0.0
86,7.204,40.0,65.3,1.623,0.0
87,8.403,40.0,64.3,1.623,0.0
88,14.419,40.0,62.8,4.382,0.0
89,10.654,40.0,60.9,9.274,0.0
90,12.981,40.0,58.6,7.233,0.0
91,14.155,40.0,55.2,6.399,0.0
92,15.552,40.0,52.3,5.564,0.0
93,14.35,40.0,50.5,6.955,0.0
94,14.876,40.0,70.0,6.955,0.0
95,20.714,40.0,69.8,0.811,0.0
96,20.841,40.0,69.6,0.811,0.0
97,21.185,40.0,69.5,0.811,0.0
98,21.574,40.0,69.3,0.811,0.0
99,21.883,40.0,69.1,0.811,0.0
100,21.926,40.0,68.9,0.811,0.0
101,22.144,40.0,66.2,0.811,0.0
102,17.87,40.0,61.9,6.492,0.0
103,19.36,40.0,57.6,5.564,0.0
104,21.274,40.0,55.7,2.133,0.0
105,13.911,40.0,54.9,1.623,0.0
106,11.884,40.0,54.1,1.623,0.0
107,4.893,40.0,52.9,4.382,0.0
108,0.0,18.0,51.4,9.088,0.0
109,2.814,40.0,50.2,4.034,0.0
110,7.848,40.0,70.0,1.623,0.0
111,9.805,40.0,68.9,1.623,0.0
112,14.15,40.0,67.3,4.382,0.0
113,10.905,40.0,65.3,9.274,0.0
114,13.0,40.0,62.7,7.233,0.0
115,14.081,40.0,59.1,6.399,0.0
116,14.989,40.0,55.9,5.564,0.0
117,13.601,40.0,54.0,6.955,0.0
118,13.903,40.0,52.2,6.955,0.0
119,19.492,40.0,52.1,0.811,0.0
120,19.614,40.0,52.0,0.811,0.0
121,19.879,40.0,51.8,0.811,0.0
122,20.391,40.0,51.7,0.811,0.0
123,21.146,40.0,51.6,0.811,0.0
124,20.862,40.0,51.5,0.811,0.0
125,20.784,40.0,70.0,0.811,0.0
126,16.525,40.0,65.4,6.492,0.0
127,17.812,40.0,60.8,5.564,0.0
128,20.906,40.0,58.8,2.133,0.0
129,16.329,40.0,58.0,1.623,0.0
