,commune,gwaerdath2,gwaerzh1,gwaerdath1,num_occupants,gwaerzh1_lit,gwaerzh2_lit,gwaerzh2,total_vehicle_count,ev_count_2025,ev_count_2040,ev_count_2050,hp_installed_2025,hp_installed_2040,hp_installed_2050,install_battery_2025,install_battery_2040,install_battery_2050
126,Sierre,-,7430,29.11.2001,18,Chaudière (générique) pour un seul bâtiment,,,12,1,6,11,False,True,True,False,True,True
11,Sierre,29.11.2001,7430,29.11.2001,12,Chaudière (générique) pour un seul bâtiment,Pas de générateur de chaleur,7400,13,2,5,10,False,True,True,False,False,False
41,Sierre,-,7430,23.06.2020,33,Chaudière (générique) pour un seul bâtiment,,,24,2,9,21,False,False,True,True,True,True
36,Sierre,-,7430,29.11.2001,50,Chaudière (générique) pour un seul bâtiment,,,33,0,12,27,False,True,True,False,False,False
77,Sierre,-,7431,07.01.2009,92,Chaudière (générique) pour plusieurs bâtiments,,,47,1,16,41,False,True,True,True,True,True
100,Sierre,-,7434,01.05.2019,7,Chaudière à condensation pour un seul bâtiment,,,3,1,2,3,False,True,True,True,True,True
12,Sierre,-,7430,29.11.2001,20,Chaudière (générique) pour un seul bâtiment,,,12,1,6,11,False,True,True,False,False,False
35,Sierre,-,7430,29.11.2001,102,Chaudière (générique) pour un seul bâtiment,,,66,1,32,54,False,True,True,False,True,True
52,Sierre,-,7430,29.11.2001,12,Chaudière (générique) pour un seul bâtiment,,,8,1,2,7,False,True,True,False,True,True
64,Sierre,03.03.2025,7410,03.03.2025,15,Pompe à chaleur PAC pour un seul bâtiment,Pas de générateur de chaleur,7400,18,1,9,14,True,True,True,False,False,False
45,Sierre,-,7430,08.09.2021,32,Chaudière (générique) pour un seul bâtiment,,,12,0,1,11,False,False,True,True,True,True
22,Sierre,-,7430,29.11.2001,6,Chaudière (générique) pour un seul bâtiment,,,6,0,1,5,False,True,True,False,True,True
120,Sierre,-,7430,31.12.2018,12,Chaudière (générique) pour un seul bâtiment,,,12,0,4,8,False,True,True,False,False,False
78,Sierre,-,7430,29.11.2001,34,Chaudière (générique) pour un seul bâtiment,,,22,0,9,20,False,True,True,False,True,True
48,Sierre,-,7450,29.11.2001,6,Chauffage central électrique pour un seul bâtiment,,,3,1,2,3,False,True,True,True,True,True
37,Sierre,-,7430,29.11.2001,56,Chaudière (générique) pour un seul bâtiment,,,29,4,12,26,False,True,True,False,True,True
79,Sierre,-,7430,29.11.2001,25,Chaudière (générique) pour un seul bâtiment,,,16,0,6,13,False,True,True,False,False,False
43,Sierre,-,7430,01.01.2011,7,Chaudière (générique) pour un seul bâtiment,,,3,0,1,3,False,True,True,False,True,True
123,Sierre,29.11.2001,7450,29.11.2001,7,Chauffage central électrique pour un seul bâtiment,Pas de générateur de chaleur,7400,2,0,0,0,False,True,True,False,False,False
1,Sierre,-,7410,09.01.2015,44,Pompe à chaleur PAC pour un seul bâtiment,,,30,2,9,24,True,True,True,False,False,False
44,Sierre,-,7430,15.12.2005,23,Chaudière (générique) pour un seul bâtiment,,,13,0,5,9,False,True,True,True,True,True
40,Sierre,-,7430,01.01.2012,60,Chaudière (générique) pour un seul bâtiment,,,30,0,6,23,False,True,True,False,False,False
